Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG02332	1.3026	0.3538
HG02334	1.5646	0.4569
HG02337	0.7793	0.0998
HG02339	1.188	0.3079
HG02343	0.7454	0.0831
HG02345	1.5737	0.4601
HG02348	6.6759	0.9393
HG02351	1.708	0.4988
HG02353	2.243	0.6242
HG02355	4.3189	0.8534
HG02356	4.7932	0.8798
HG02360	1.7494	0.514
HG02364	1.7573	0.5152
HG02367	19.6504	0.9976
HG02371	3.3394	0.7911
HG02373	4.4048	0.8574
HG02374	2.2935	0.6362
HG02375	2.5948	0.6901
HG02379	9.9443	0.9736
HG02380	1.7966	0.5272
HG02382	3.212	0.7752
HG02383	6.3363	0.9333
HG02384	3.9251	0.8331
HG02385	3.9161	0.8327
HG02386	1.6204	0.472
HG02389	3.0313	0.7496
HG02390	4.9397	0.8874
HG02391	8.0301	0.9585
HG02392	5.22	0.8962
HG02394	1.1044	0.2696
HG02395	4.6219	0.871
HG02396	2.0509	0.5859
HG02397	2.0614	0.5895
HG02398	1.0874	0.262
HG02399	2.5567	0.6853
HG02401	1.5479	0.4513
HG02402	4.2781	0.8518
HG02406	1.6972	0.4952
HG02407	6.1448	0.9285
HG02408	3.114	0.7636
HG02409	2.909	0.7344
